#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
packed,64,1,  1,0.000,0.000,0.000,0.041,0.108,0.070,0.000,0.000,0.000,0.018,0.029,0.027,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,13.586,34.003,28.165,8.180,9.993,9.108,0.000,0.000,0.000,0.005,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.000,13.718,17.588,16.087,9.326,10.923,10.550
packed,64,2,  1,0.000,0.000,0.000,0.001,0.224,0.033,0.000,0.000,0.000,0.683,1.082,0.912,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,11.617,35.412,29.400,8.138,10.140,9.009,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,13.169,16.680,15.585,9.815,10.858,10.593
packed,64,3,  1,0.000,0.000,0.000,0.001,0.053,0.022,0.000,0.000,0.000,0.471,0.798,0.772,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,12.188,36.392,31.055,8.416,9.972,9.043,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,13.805,15.936,15.218,9.454,10.890,10.465
packed,64,4,  1,0.000,0.000,0.000,0.001,0.226,0.024,0.000,0.000,0.000,0.745,0.847,0.807,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,10.629,36.186,29.735,8.392,10.232,9.276,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,13.961,15.925,15.194,9.513,10.839,10.529
packed,64,5,  1,0.000,0.000,0.000,0.001,0.222,0.028,0.000,0.000,0.000,0.649,0.865,0.823,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,10.710,32.653,27.479,8.511,10.149,9.143,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,13.771,16.708,15.926,9.838,10.918,10.552
packed,64,6,  1,0.000,0.000,0.000,0.001,0.218,0.017,0.000,0.000,0.000,0.834,1.355,1.245,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,14.519,34.426,26.174,8.428,10.348,9.388,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,10.984,15.913,15.096,9.603,10.920,10.585
packed,64,7,  1,0.000,0.000,0.000,0.001,0.051,0.029,0.000,0.000,0.000,0.341,0.753,0.708,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,11.509,38.088,29.107,7.970,10.672,9.454,0.000,0.000,0.000,0.002,0.008,0.005,0.000,0.000,0.000,0.000,0.000,0.000,12.956,15.990,15.096,9.477,11.017,10.574
packed,64,8,  1,0.000,0.000,0.000,0.001,0.209,0.028,0.000,0.000,0.000,0.454,0.902,0.803,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,15.512,32.473,27.908,8.097,10.072,9.264,0.000,0.000,0.000,0.002,0.020,0.011,0.000,0.000,0.000,0.000,0.000,0.000,12.823,15.979,15.046,9.501,10.924,10.506
packed,64,9,  1,0.000,0.000,0.000,0.001,0.050,0.020,0.000,0.000,0.000,0.362,0.825,0.783,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,14.634,31.732,26.089,8.043,10.293,9.084,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,12.917,16.037,15.061,9.420,10.917,10.534
packed,64,10,  1,0.000,0.000,0.000,0.001,0.052,0.025,0.000,0.000,0.000,0.569,1.105,0.907,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,14.131,35.279,28.230,7.887,9.934,9.033,0.000,0.000,0.000,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,13.590,16.805,15.617,9.744,10.919,10.543
