#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
packed,7,1,  1,0.000,0.000,0.000,0.062,0.082,0.074,0.000,0.000,0.000,0.015,0.020,0.018,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,6.526,6.926,6.729,2.836,3.327,3.118,0.000,0.000,0.000,0.007,0.007,0.007,0.000,0.000,0.000,0.000,0.000,0.000,2.741,3.136,2.983,2.886,3.330,3.136
packed,7,2,  1,0.000,0.000,0.000,0.001,0.013,0.009,0.000,0.000,0.000,0.104,0.109,0.107,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.251,5.391,4.954,2.861,3.329,3.128,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,2.653,3.037,2.861,2.843,3.336,3.123
packed,7,3,  1,0.000,0.000,0.000,0.001,0.012,0.009,0.000,0.000,0.000,0.102,0.108,0.106,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.536,5.560,4.975,2.876,3.333,3.137,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,2.619,2.991,2.835,2.848,3.326,3.116
packed,7,4,  1,0.000,0.000,0.000,0.009,0.013,0.012,0.000,0.000,0.000,0.103,0.110,0.107,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.550,5.680,5.216,2.878,3.334,3.134,0.000,0.000,0.000,0.003,0.004,0.003,0.000,0.000,0.000,0.000,0.000,0.000,2.488,2.923,2.731,2.850,3.327,3.116
packed,7,5,  1,0.000,0.000,0.000,0.009,0.013,0.012,0.000,0.000,0.000,0.099,0.114,0.111,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.242,5.861,5.560,2.844,3.330,3.119,0.000,0.000,0.000,0.003,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,2.519,2.884,2.730,2.863,3.332,3.127
packed,7,6,  1,0.000,0.000,0.000,0.010,0.014,0.011,0.000,0.000,0.000,0.098,0.101,0.099,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.422,5.722,5.116,2.828,3.329,3.114,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,2.496,2.889,2.721,2.832,3.327,3.117
packed,7,7,  1,0.000,0.000,0.000,0.010,0.014,0.012,0.000,0.000,0.000,0.112,0.118,0.117,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.489,6.578,5.981,2.825,3.327,3.118,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,2.458,2.893,2.694,2.823,3.323,3.112
packed,7,8,  1,0.000,0.000,0.000,0.008,0.015,0.011,0.000,0.000,0.000,0.104,0.114,0.111,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.528,5.516,5.011,2.840,3.326,3.120,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,2.398,2.884,2.706,2.829,3.330,3.114
packed,7,9,  1,0.000,0.000,0.000,0.010,0.013,0.012,0.000,0.000,0.000,0.108,0.113,0.111,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.702,5.579,5.111,2.831,3.333,3.118,0.000,0.000,0.000,0.003,0.004,0.003,0.000,0.000,0.000,0.000,0.000,0.000,2.469,2.898,2.713,2.860,3.331,3.126
packed,7,10,  1,0.000,0.000,0.000,0.009,0.018,0.015,0.000,0.000,0.000,0.106,0.113,0.110,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.904,6.000,5.537,2.817,3.328,3.111,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,2.459,2.871,2.701,2.835,3.327,3.116
