#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
packed,8,1,  1,0.000,0.000,0.000,0.047,0.137,0.078,0.000,0.000,0.000,0.018,0.022,0.020,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,19.910,21.365,20.690,5.565,5.622,5.602,0.000,0.000,0.000,0.005,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,7.119,7.271,7.221,5.442,5.625,5.567
packed,8,2,  1,0.000,0.000,0.000,0.001,0.025,0.017,0.000,0.000,0.000,0.160,0.169,0.165,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,4.048,10.849,9.718,5.539,5.611,5.584,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.520,4.632,4.559,5.494,5.629,5.584
packed,8,3,  1,0.000,0.000,0.000,0.011,0.037,0.024,0.000,0.000,0.000,0.368,0.379,0.371,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,9.724,10.633,10.102,5.557,5.618,5.599,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,7.044,7.461,7.178,5.464,5.616,5.565
packed,8,4,  1,0.000,0.000,0.000,0.008,0.035,0.020,0.000,0.000,0.000,0.357,0.575,0.411,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,10.407,11.218,10.797,5.557,5.613,5.590,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.480,4.697,4.608,5.440,5.624,5.568
packed,8,5,  1,0.000,0.000,0.000,0.014,0.027,0.019,0.000,0.000,0.000,0.271,0.297,0.280,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,9.704,11.357,10.621,5.433,5.595,5.552,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.518,4.744,4.642,5.516,5.626,5.586
packed,8,6,  1,0.000,0.000,0.000,0.016,0.027,0.020,0.000,0.000,0.000,0.266,0.300,0.279,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,10.412,11.317,10.781,5.556,5.620,5.597,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,7.816,8.310,8.160,5.484,5.627,5.579
packed,8,7,  1,0.000,0.000,0.000,0.014,0.033,0.020,0.000,0.000,0.000,0.171,0.182,0.179,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,9.529,11.963,10.717,5.564,5.617,5.597,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,7.930,8.659,8.315,5.513,5.625,5.585
packed,8,8,  1,0.000,0.000,0.000,0.013,0.027,0.019,0.000,0.000,0.000,0.260,0.297,0.273,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,9.696,11.009,10.210,5.539,5.620,5.595,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.228,6.789,6.512,5.461,5.613,5.562
packed,8,9,  1,0.000,0.000,0.000,0.018,0.030,0.022,0.000,0.000,0.000,0.236,0.287,0.260,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,10.333,11.939,10.926,5.550,5.610,5.586,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,7.484,8.188,7.916,5.495,5.622,5.577
packed,8,10,  1,0.000,0.000,0.000,0.011,0.043,0.021,0.000,0.000,0.000,0.272,0.304,0.283,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,9.913,12.079,11.141,5.562,5.613,5.593,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.731,6.073,5.986,5.607,5.649,5.631
