#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
packed,56,1,  1,0.000,0.000,0.000,0.051,0.152,0.104,0.000,0.000,0.000,0.004,0.257,0.077,0.000,0.000,0.000,0.006,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.000,34.013,36.459,35.643,3.776,6.855,6.296,0.000,0.000,0.000,0.007,0.008,0.007,0.000,0.000,0.000,0.000,0.000,0.000,23.749,29.371,28.024,3.745,6.779,6.204
packed,56,2,  1,0.000,0.000,0.000,0.001,0.075,0.039,0.000,0.000,0.000,1.264,1.276,1.267,0.000,0.000,0.000,0.002,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,30.231,37.910,36.253,3.761,6.945,6.242,0.000,0.000,0.000,0.003,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,32.632,37.550,35.664,3.750,6.767,6.173
packed,56,3,  1,0.000,0.000,0.000,0.002,0.124,0.057,0.000,0.000,0.000,0.754,1.039,1.008,0.000,0.000,0.000,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,37.322,44.732,43.347,3.788,6.887,6.294,0.000,0.000,0.000,0.003,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,20.638,23.013,22.035,3.763,6.781,6.195
packed,56,4,  1,0.000,0.000,0.000,0.001,0.105,0.056,0.000,0.000,0.000,0.840,1.157,1.131,0.000,0.000,0.000,0.002,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,32.673,38.498,37.037,3.772,6.818,6.268,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,16.471,19.248,18.396,3.742,6.793,6.209
packed,56,5,  1,0.000,0.000,0.000,0.002,0.118,0.048,0.000,0.000,0.000,0.763,1.290,1.168,0.000,0.000,0.000,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,33.136,41.011,39.418,3.800,6.793,6.254,0.000,0.000,0.000,0.003,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,14.714,19.466,17.949,3.745,6.840,6.263
packed,56,6,  1,0.000,0.000,0.000,0.001,0.230,0.048,0.000,0.000,0.000,0.715,0.963,0.926,0.000,0.000,0.000,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,32.517,37.687,35.685,3.769,6.983,6.274,0.000,0.000,0.000,0.003,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,15.526,19.270,18.250,3.742,6.819,6.208
packed,56,7,  1,0.000,0.000,0.000,0.002,0.098,0.045,0.000,0.000,0.000,0.828,1.074,1.053,0.000,0.000,0.000,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,32.289,44.828,42.620,3.782,6.873,6.272,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,12.241,19.587,17.795,3.750,6.794,6.193
packed,56,8,  1,0.000,0.000,0.000,0.002,0.306,0.057,0.000,0.000,0.000,0.343,1.018,0.969,0.000,0.000,0.000,0.002,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,33.833,41.134,39.665,3.781,6.895,6.347,0.000,0.000,0.000,0.003,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,30.332,33.048,32.244,3.733,6.781,6.184
packed,56,9,  1,0.000,0.000,0.000,0.001,0.117,0.043,0.000,0.000,0.000,0.639,0.967,0.922,0.000,0.000,0.000,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,31.411,39.702,38.362,3.773,6.784,6.223,0.000,0.000,0.000,0.003,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,29.783,33.048,31.591,3.729,6.746,6.186
packed,56,10,  1,0.000,0.000,0.000,0.002,0.223,0.051,0.000,0.000,0.000,0.588,1.441,1.171,0.000,0.000,0.000,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,35.035,39.507,38.254,3.781,6.792,6.260,0.000,0.000,0.000,0.003,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,13.680,19.239,18.200,3.747,6.764,6.191
