#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
packed,8,1,  1,0.000,0.000,0.000,0.010,0.040,0.023,0.000,0.000,0.000,0.023,0.023,0.023,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,11.284,12.175,11.799,5.577,5.624,5.608,0.004,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,4.167,8.215,5.630,0.000,0.000,0.000,5.582,5.615,5.600
packed,8,1,  1,0.000,0.000,0.000,0.009,0.049,0.031,0.000,0.000,0.000,0.029,0.033,0.031,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,11.492,12.240,11.903,5.561,5.614,5.596,0.011,0.011,0.011,0.000,0.000,0.000,0.000,0.000,0.000,6.330,8.350,7.336,0.000,0.000,0.000,5.574,5.616,5.601
packed,8,1,  1,0.000,0.000,0.000,0.010,0.052,0.031,0.000,0.000,0.000,0.035,0.039,0.037,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,11.301,12.148,11.815,5.768,5.809,5.792,0.004,0.005,0.004,0.000,0.000,0.000,0.000,0.000,0.000,6.748,8.397,7.332,0.000,0.000,0.000,5.552,5.604,5.586
packed,8,2,  1,0.000,0.000,0.000,0.014,0.025,0.019,0.000,0.000,0.000,0.256,0.280,0.271,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,7.480,8.684,8.291,5.592,5.624,5.609,0.006,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.000,4.419,4.579,4.483,0.000,0.000,0.000,5.573,5.618,5.600
packed,8,2,  1,0.000,0.000,0.000,0.016,0.076,0.039,0.000,0.000,0.000,0.228,0.437,0.254,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,9.015,9.715,9.484,5.569,5.619,5.602,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.367,4.540,4.458,0.000,0.000,0.000,5.555,5.609,5.591
packed,8,2,  1,0.000,0.000,0.000,0.001,0.018,0.010,0.000,0.000,0.000,0.142,0.190,0.180,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,4.451,8.095,7.055,5.582,5.617,5.604,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.012,5.119,5.066,0.000,0.000,0.000,5.573,5.621,5.605
packed,8,3,  1,0.000,0.000,0.000,0.002,0.028,0.014,0.000,0.000,0.000,0.178,0.187,0.182,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,3.487,9.029,7.942,5.581,5.611,5.597,0.005,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,4.755,4.921,4.835,0.000,0.000,0.000,5.585,5.613,5.601
packed,8,3,  1,0.000,0.000,0.000,0.008,0.065,0.030,0.000,0.000,0.000,0.007,0.007,0.007,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,8.595,9.599,9.165,5.586,5.621,5.608,0.006,0.007,0.007,0.000,0.000,0.000,0.000,0.000,0.000,8.523,9.562,9.063,0.000,0.000,0.000,5.559,5.610,5.593
packed,8,4,  1,0.000,0.000,0.000,0.014,0.034,0.019,0.000,0.000,0.000,0.256,0.518,0.379,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,3.962,10.638,9.194,5.569,5.607,5.594,0.006,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.000,4.172,4.400,4.270,0.000,0.000,0.000,5.552,5.604,5.587
packed,8,4,  1,0.000,0.000,0.000,0.009,0.042,0.030,0.000,0.000,0.000,0.023,0.056,0.028,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,10.089,11.152,10.615,5.598,5.631,5.618,0.005,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,5.407,7.159,6.221,0.000,0.000,0.000,5.575,5.615,5.602
packed,8,3,  1,0.000,0.000,0.000,0.001,0.021,0.013,0.000,0.000,0.000,0.149,0.153,0.150,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,4.295,11.464,8.923,5.588,5.617,5.604,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.472,7.531,6.901,0.000,0.000,0.000,5.597,5.621,5.611
packed,8,5,  1,0.000,0.000,0.000,0.002,0.035,0.014,0.000,0.000,0.000,0.332,0.357,0.346,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,3.397,9.094,8.028,5.568,5.613,5.596,0.005,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,4.418,4.521,4.479,0.000,0.000,0.000,5.567,5.613,5.595
packed,8,5,  1,0.000,0.000,0.000,0.013,0.052,0.031,0.000,0.000,0.000,0.040,0.041,0.040,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,8.886,9.600,9.329,5.564,5.608,5.590,0.005,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,4.393,4.724,4.595,0.000,0.000,0.000,5.565,5.606,5.589
packed,8,4,  1,0.000,0.000,0.000,0.011,0.057,0.022,0.000,0.000,0.000,0.320,0.577,0.479,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,3.479,8.236,7.434,5.583,5.622,5.607,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.047,5.146,5.094,0.000,0.000,0.000,5.578,5.609,5.595
packed,8,6,  1,0.000,0.000,0.000,0.002,0.229,0.045,0.000,0.000,0.000,0.352,0.592,0.445,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,4.447,11.830,10.053,5.579,5.617,5.603,0.007,0.007,0.007,0.000,0.000,0.000,0.000,0.000,0.000,6.942,8.742,8.075,0.000,0.000,0.000,5.558,5.603,5.587
packed,8,6,  1,0.000,0.000,0.000,0.014,0.055,0.040,0.000,0.000,0.000,0.004,0.005,0.005,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,9.543,11.283,10.429,5.575,5.622,5.607,0.005,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,8.845,9.492,9.238,0.000,0.000,0.000,5.560,5.611,5.592
packed,8,5,  1,0.000,0.000,0.000,0.001,0.037,0.017,0.000,0.000,0.000,0.335,0.799,0.596,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,3.502,11.250,9.751,5.566,5.612,5.597,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.519,4.782,4.695,0.000,0.000,0.000,5.568,5.613,5.597
packed,8,7,  1,0.000,0.000,0.000,0.010,0.034,0.022,0.000,0.000,0.000,0.200,0.420,0.389,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,3.497,8.939,7.717,5.578,5.616,5.601,0.006,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.000,4.240,4.441,4.355,0.000,0.000,0.000,5.564,5.616,5.598
packed,8,7,  1,0.000,0.000,0.000,0.009,0.051,0.029,0.000,0.000,0.000,0.023,0.023,0.023,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,8.738,9.315,9.043,5.589,5.627,5.614,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,6.432,7.269,6.884,0.000,0.000,0.000,5.576,5.614,5.600
packed,8,6,  1,0.000,0.000,0.000,0.011,0.025,0.015,0.000,0.000,0.000,0.004,0.005,0.005,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,3.490,8.828,7.952,5.579,5.613,5.599,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.321,5.845,5.623,0.000,0.000,0.000,5.584,5.611,5.598
