#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
spread,4,1,  1,0.000,0.000,0.000,0.001,0.027,0.014,0.000,0.000,0.000,0.023,0.039,0.027,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.592,1.416,1.162,0.243,0.250,0.246,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.382,0.840,0.528,0.000,0.000,0.000,0.242,0.246,0.243
spread,4,2,  1,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.007,1.024,0.396,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.561,0.702,0.638,0.242,0.245,0.244,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.343,0.474,0.409,0.000,0.000,0.000,0.241,0.244,0.243
