#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
packed,4,1,  1,0.000,0.000,0.000,0.008,0.032,0.025,0.000,0.000,0.000,0.066,0.070,0.068,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,2.826,3.215,3.106,0.687,0.699,0.694,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.615,0.775,0.673,0.000,0.000,0.000,0.694,0.701,0.698
packed,4,1,  1,0.000,0.000,0.000,0.008,0.029,0.015,0.000,0.000,0.000,0.025,0.025,0.025,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,2.769,3.427,3.121,0.685,0.701,0.695,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.078,1.425,1.270,0.000,0.000,0.000,0.694,0.701,0.697
packed,4,1,  1,0.000,0.000,0.000,0.009,0.027,0.016,0.000,0.000,0.000,0.033,0.038,0.036,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,2.977,3.313,3.198,0.694,0.700,0.698,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.169,1.727,1.482,0.000,0.000,0.000,0.692,0.699,0.696
packed,4,2,  1,0.000,0.000,0.000,0.009,0.027,0.015,0.000,0.000,0.000,0.039,0.052,0.043,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.680,1.986,1.832,0.687,0.700,0.695,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.602,0.647,0.632,0.000,0.000,0.000,0.701,0.704,0.702
packed,4,2,  1,0.000,0.000,0.000,0.008,0.033,0.021,0.000,0.000,0.000,0.022,0.023,0.023,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.993,2.094,2.042,0.692,0.701,0.697,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.602,0.669,0.625,0.000,0.000,0.000,0.697,0.702,0.700
packed,4,2,  1,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.025,0.039,0.033,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.944,1.098,0.991,0.695,0.702,0.699,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.643,0.725,0.698,0.000,0.000,0.000,0.686,0.700,0.695
packed,4,3,  1,0.000,0.000,0.000,0.019,0.040,0.030,0.000,0.000,0.000,0.023,0.024,0.023,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.735,2.057,1.841,0.691,0.702,0.697,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.225,2.092,1.522,0.000,0.000,0.000,0.685,0.700,0.694
packed,4,3,  1,0.000,0.000,0.000,0.012,0.032,0.020,0.000,0.000,0.000,0.013,0.013,0.013,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.776,2.532,2.043,0.686,0.700,0.694,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.339,1.885,1.597,0.000,0.000,0.000,0.685,0.701,0.695
packed,4,3,  1,0.000,0.000,0.000,0.001,0.019,0.008,0.000,0.000,0.000,0.044,0.048,0.046,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.747,0.986,0.880,0.683,0.699,0.693,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.855,1.105,1.040,0.000,0.000,0.000,0.695,0.701,0.698
packed,4,4,  1,0.000,0.000,0.000,0.016,0.034,0.022,0.000,0.000,0.000,0.276,0.290,0.284,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.826,2.158,1.977,0.688,0.700,0.695,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.381,2.041,1.564,0.000,0.000,0.000,0.700,0.703,0.702
packed,4,4,  1,0.000,0.000,0.000,0.015,0.033,0.026,0.000,0.000,0.000,0.007,0.008,0.007,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.715,1.998,1.837,0.692,0.699,0.696,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.294,1.824,1.437,0.000,0.000,0.000,0.696,0.700,0.698
packed,4,5,  1,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.026,0.249,0.091,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.947,1.036,0.993,0.700,0.703,0.702,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.567,0.626,0.606,0.000,0.000,0.000,0.691,0.701,0.697
packed,4,5,  1,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.028,0.246,0.087,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.008,1.133,1.059,0.686,0.698,0.692,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.824,0.929,0.857,0.000,0.000,0.000,0.698,0.701,0.700
packed,4,6,  1,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.020,0.220,0.071,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.873,1.169,1.059,0.683,0.699,0.692,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.561,0.603,0.583,0.000,0.000,0.000,0.699,0.703,0.701
packed,4,6,  1,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.004,0.005,0.004,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.028,1.224,1.105,0.693,0.699,0.697,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.908,0.978,0.951,0.000,0.000,0.000,0.686,0.699,0.694
packed,4,7,  1,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.050,0.054,0.052,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.952,1.030,0.990,0.692,0.701,0.697,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.663,2.560,2.255,0.000,0.000,0.000,0.691,0.700,0.696
packed,4,7,  1,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.065,0.065,0.065,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.893,1.215,1.076,0.692,0.701,0.698,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,2.542,2.660,2.595,0.000,0.000,0.000,0.698,0.701,0.700
packed,4,8,  1,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.020,0.026,0.024,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.989,1.037,1.023,0.687,0.700,0.695,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.622,0.668,0.650,0.000,0.000,0.000,0.691,0.701,0.697
packed,4,8,  1,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.071,0.072,0.071,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.006,1.205,1.063,0.680,0.698,0.690,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.650,0.636,0.000,0.000,0.000,0.689,0.700,0.695
packed,4,9,  1,0.000,0.000,0.000,0.001,0.012,0.008,0.000,0.000,0.000,0.023,0.027,0.025,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.851,1.075,0.989,0.701,0.704,0.703,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.642,0.630,0.000,0.000,0.000,0.691,0.701,0.696
packed,4,9,  1,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.052,0.052,0.052,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.935,1.062,1.005,0.694,0.699,0.697,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.780,0.810,0.795,0.000,0.000,0.000,0.681,0.698,0.691
