#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
spread,8,1,  1,0.000,0.000,0.000,0.001,0.049,0.032,0.000,0.000,0.000,0.028,0.053,0.044,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,2.204,5.922,5.146,0.953,0.967,0.958,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.177,2.748,1.870,0.000,0.000,0.000,0.946,0.963,0.952
spread,8,2,  1,0.000,0.000,0.000,0.001,0.014,0.002,0.000,0.000,0.000,0.030,0.036,0.033,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.969,4.289,2.336,0.950,0.963,0.959,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.410,10.883,9.531,0.000,0.000,0.000,0.948,0.961,0.952
spread,8,3,  1,0.000,0.000,0.000,0.001,0.012,0.007,0.000,0.000,0.000,0.004,0.075,0.026,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.801,4.070,2.372,0.953,0.970,0.960,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.226,2.025,1.615,0.000,0.000,0.000,0.948,0.961,0.953
spread,8,4,  1,0.000,0.000,0.000,0.001,0.023,0.009,0.000,0.000,0.000,0.038,0.484,0.183,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.841,6.085,2.632,0.953,0.969,0.960,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.159,1.661,1.446,0.000,0.000,0.000,0.949,0.962,0.953
spread,8,5,  1,0.000,0.000,0.000,0.001,0.017,0.010,0.000,0.000,0.000,0.031,0.042,0.034,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.785,4.034,2.214,0.951,0.972,0.961,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.732,6.108,5.603,0.000,0.000,0.000,0.948,0.963,0.953
spread,8,6,  1,0.000,0.000,0.000,0.010,0.040,0.021,0.000,0.000,0.000,0.035,0.487,0.144,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.812,6.571,2.539,0.953,0.970,0.961,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.277,2.004,1.479,0.000,0.000,0.000,0.948,0.963,0.952
spread,8,7,  1,0.000,0.000,0.000,0.001,0.011,0.005,0.000,0.000,0.000,0.032,0.048,0.042,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.791,3.881,2.218,0.953,0.971,0.961,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.184,3.181,1.745,0.000,0.000,0.000,0.949,0.963,0.953
