#nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
64,1,  1,0.009,0.261,0.049,0.000,0.000,0.000,0.039,0.250,0.088,0.000,0.000,0.000,0.003,0.004,0.003,0.000,0.000,0.000,0.000,0.000,0.000,16.139,33.816,23.882,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.006,0.005,0.000,0.000,0.000,0.000,0.000,0.000,6.591,40.621,19.414,0.000,0.000,0.000,0.000,0.000,0.000
64,2,  1,0.001,0.174,0.025,0.000,0.000,0.000,0.392,1.316,0.826,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,8.246,18.562,15.893,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.142,24.147,10.099,0.000,0.000,0.000,0.000,0.000,0.000
64,3,  1,0.007,0.217,0.031,0.000,0.000,0.000,0.244,0.905,0.658,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,9.884,18.482,15.842,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.104,25.616,14.051,0.000,0.000,0.000,0.000,0.000,0.000
64,4,  1,0.010,0.237,0.030,0.000,0.000,0.000,0.277,0.722,0.481,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,12.908,22.590,17.932,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,7.687,51.046,19.473,0.000,0.000,0.000,0.000,0.000,0.000
64,5,  1,0.008,0.227,0.038,0.000,0.000,0.000,0.279,1.162,0.722,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,8.637,19.751,16.473,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.116,30.247,15.708,0.000,0.000,0.000,0.000,0.000,0.000
64,6,  1,0.007,0.290,0.033,0.000,0.000,0.000,0.366,2.587,1.178,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,9.566,23.851,19.738,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.555,19.874,10.583,0.000,0.000,0.000,0.000,0.000,0.000
64,7,  1,0.008,0.232,0.028,0.000,0.000,0.000,0.289,1.049,0.658,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,9.971,18.701,16.345,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.977,42.823,15.173,0.000,0.000,0.000,0.000,0.000,0.000
64,8,  1,0.008,0.218,0.025,0.000,0.000,0.000,0.256,0.998,0.705,0.000,0.000,0.000,0.001,0.009,0.001,0.000,0.000,0.000,0.000,0.000,0.000,8.404,21.268,18.029,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.577,19.317,9.678,0.000,0.000,0.000,0.000,0.000,0.000
64,9,  1,0.008,0.078,0.025,0.000,0.000,0.000,0.171,1.213,0.762,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,15.692,24.128,19.717,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.157,37.478,16.127,0.000,0.000,0.000,0.000,0.000,0.000
64,10,  1,0.011,0.251,0.032,0.000,0.000,0.000,0.646,1.887,1.301,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,10.591,20.972,18.607,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.719,57.613,16.098,0.000,0.000,0.000,0.000,0.000,0.000
