#nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
7,1,  1,0.013,0.069,0.026,0.000,0.000,0.000,0.020,0.020,0.020,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,6.932,10.344,8.948,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.000,7.163,7.943,7.664,0.000,0.000,0.000,0.000,0.000,0.000
7,2,  1,0.014,0.045,0.025,0.000,0.000,0.000,0.020,0.230,0.113,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.252,11.112,8.064,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,4.725,5.100,4.890,0.000,0.000,0.000,0.000,0.000,0.000
7,3,  1,0.009,0.506,0.116,0.000,0.000,0.000,0.732,0.738,0.734,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.836,8.491,7.511,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,5.884,6.509,6.240,0.000,0.000,0.000,0.000,0.000,0.000
7,4,  1,0.010,0.042,0.018,0.000,0.000,0.000,0.085,0.095,0.092,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,7.050,7.831,7.344,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,2.635,3.027,2.842,0.000,0.000,0.000,0.000,0.000,0.000
7,5,  1,0.011,0.015,0.012,0.000,0.000,0.000,0.320,0.324,0.322,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.889,7.681,7.204,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,2.701,3.059,2.892,0.000,0.000,0.000,0.000,0.000,0.000
7,6,  1,0.010,0.024,0.017,0.000,0.000,0.000,0.098,0.109,0.107,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.858,7.827,7.264,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,2.547,3.357,2.960,0.000,0.000,0.000,0.000,0.000,0.000
7,7,  1,0.011,0.022,0.016,0.000,0.000,0.000,0.100,0.105,0.103,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.138,8.265,7.229,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,4.235,5.579,5.141,0.000,0.000,0.000,0.000,0.000,0.000
7,8,  1,0.009,0.227,0.061,0.000,0.000,0.000,0.090,0.263,0.163,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.131,8.719,7.550,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,5.996,6.255,6.161,0.000,0.000,0.000,0.000,0.000,0.000
7,9,  1,0.011,0.019,0.015,0.000,0.000,0.000,0.095,0.102,0.099,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.331,7.252,6.814,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,2.591,2.926,2.783,0.000,0.000,0.000,0.000,0.000,0.000
7,10,  1,0.010,0.040,0.025,0.000,0.000,0.000,0.305,0.314,0.310,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,6.355,7.480,6.920,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,5.929,7.006,6.637,0.000,0.000,0.000,0.000,0.000,0.000
