#nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
448,1,  1,0.028,1.632,0.228,0.000,0.000,0.000,0.004,0.300,0.067,0.000,0.000,0.000,0.002,0.006,0.004,0.000,0.000,0.000,0.000,0.000,0.000,16.077,62.065,42.849,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.222,0.020,0.000,0.000,0.000,0.000,0.000,0.000,6.615,71.384,26.378,0.000,0.000,0.000,0.000,0.000,0.000
448,2,  1,0.001,1.549,0.190,0.000,0.000,0.000,0.038,2.278,0.419,0.000,0.000,0.000,0.002,0.060,0.003,0.000,0.000,0.000,0.000,0.000,0.000,16.131,55.491,42.130,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.005,0.004,0.000,0.000,0.000,0.000,0.000,0.000,5.863,149.703,26.803,0.000,0.000,0.000,0.000,0.000,0.000
448,3,  1,0.002,0.735,0.119,0.000,0.000,0.000,0.094,1.041,0.325,0.000,0.000,0.000,0.002,0.048,0.002,0.000,0.000,0.000,0.000,0.000,0.000,17.575,61.937,40.181,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.036,0.004,0.000,0.000,0.000,0.000,0.000,0.000,6.934,72.438,22.744,0.000,0.000,0.000,0.000,0.000,0.000
448,4,  1,0.012,0.910,0.149,0.000,0.000,0.000,0.100,1.031,0.429,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,24.177,64.563,50.559,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,5.377,113.526,24.440,0.000,0.000,0.000,0.000,0.000,0.000
448,5,  1,0.002,0.509,0.105,0.000,0.000,0.000,0.114,0.701,0.305,0.000,0.000,0.000,0.002,0.047,0.002,0.000,0.000,0.000,0.000,0.000,0.000,19.457,44.215,35.344,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,6.268,116.069,27.634,0.000,0.000,0.000,0.000,0.000,0.000
448,6,  1,0.011,0.799,0.126,0.000,0.000,0.000,0.090,2.044,0.808,0.000,0.000,0.000,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,20.627,69.220,51.003,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.005,0.004,0.000,0.000,0.000,0.000,0.000,0.000,4.876,38.935,19.739,0.000,0.000,0.000,0.000,0.000,0.000
448,7,  1,0.001,0.874,0.158,0.000,0.000,0.000,0.095,3.673,0.993,0.000,0.000,0.000,0.002,0.084,0.003,0.000,0.000,0.000,0.000,0.000,0.000,14.303,108.180,75.321,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.020,0.004,0.000,0.000,0.000,0.000,0.000,0.000,6.715,64.178,23.540,0.000,0.000,0.000,0.000,0.000,0.000
448,8,  1,0.002,1.760,0.211,0.000,0.000,0.000,0.088,1.810,0.390,0.000,0.000,0.000,0.002,0.274,0.004,0.000,0.000,0.000,0.000,0.000,0.000,17.750,46.154,36.356,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,3.478,138.708,27.064,0.000,0.000,0.000,0.000,0.000,0.000
448,9,  1,0.010,0.334,0.109,0.000,0.000,0.000,0.129,2.049,0.670,0.000,0.000,0.000,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,27.186,50.925,40.395,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.005,0.004,0.000,0.000,0.000,0.000,0.000,0.000,5.053,119.512,24.755,0.000,0.000,0.000,0.000,0.000,0.000
448,10,  1,0.001,0.713,0.110,0.000,0.000,0.000,0.110,2.877,0.938,0.000,0.000,0.000,0.002,0.248,0.005,0.000,0.000,0.000,0.000,0.000,0.000,18.502,59.608,46.713,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.005,0.004,0.000,0.000,0.000,0.000,0.000,0.000,7.376,88.290,29.252,0.000,0.000,0.000,0.000,0.000,0.000
