#nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
8,1,  1,0.050,0.077,0.061,0.000,0.000,0.000,0.015,0.015,0.015,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,15.873,19.592,17.788,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,8.671,9.610,9.264,0.000,0.000,0.000,0.000,0.000,0.000
8,2,  1,0.002,0.041,0.018,0.000,0.000,0.000,0.746,1.237,0.907,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,6.760,16.363,13.629,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.860,5.258,5.024,0.000,0.000,0.000,0.000,0.000,0.000
8,3,  1,0.010,0.030,0.017,0.000,0.000,0.000,0.386,0.397,0.394,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,11.535,12.412,11.831,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.737,5.168,4.950,0.000,0.000,0.000,0.000,0.000,0.000
8,4,  1,0.010,0.024,0.016,0.000,0.000,0.000,0.382,0.774,0.550,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,11.128,14.133,12.823,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.805,5.147,4.949,0.000,0.000,0.000,0.000,0.000,0.000
8,5,  1,0.015,0.025,0.020,0.000,0.000,0.000,0.344,0.780,0.461,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,9.568,11.183,10.587,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.288,4.654,4.481,0.000,0.000,0.000,0.000,0.000,0.000
8,6,  1,0.009,0.021,0.015,0.000,0.000,0.000,0.982,1.003,0.994,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,10.365,11.750,11.349,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.379,4.869,4.538,0.000,0.000,0.000,0.000,0.000,0.000
8,7,  1,0.009,0.021,0.016,0.000,0.000,0.000,0.386,0.399,0.395,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,11.064,13.179,12.019,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,8.639,8.742,8.687,0.000,0.000,0.000,0.000,0.000,0.000
8,8,  1,0.012,0.032,0.019,0.000,0.000,0.000,0.119,0.297,0.206,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,13.403,14.761,14.193,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.944,5.491,5.161,0.000,0.000,0.000,0.000,0.000,0.000
8,9,  1,0.011,0.024,0.019,0.000,0.000,0.000,1.435,1.465,1.453,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,12.496,15.105,13.965,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,11.132,11.967,11.493,0.000,0.000,0.000,0.000,0.000,0.000
8,10,  1,0.013,0.022,0.016,0.000,0.000,0.000,0.114,0.506,0.307,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,10.643,13.770,12.180,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.268,5.839,5.461,0.000,0.000,0.000,0.000,0.000,0.000
